cod;nome;período;valor
50;MS;1989;30
15;PA;1989;41
17;TO;1989;5
14;RR;1989;1
53;DF;1989;32
43;RS;1989;189
41;PR;1989;155
13;AM;1989;20
16;AP;1989;4
12;AC;1989;12
29;BA;1989;55
51;MT;1989;21
26;PE;1989;29
31;MG;1989;169
35;SP;1989;421
27;AL;1989;23
42;SC;1989;70
22;PI;1989;16
11;RO;1989;23
33;RJ;1989;70
52;GO;1989;60
25;PB;1989;20
28;SE;1989;2
21;MA;1989;9
23;CE;1989;35
24;RN;1989;22
32;ES;1989;25
50;MS;1990;33
23;CE;1990;45
22;PI;1990;7
24;RN;1990;24
32;ES;1990;29
53;DF;1990;44
14;RR;1990;2
11;RO;1990;26
17;TO;1990;5
15;PA;1990;42
21;MA;1990;10
28;SE;1990;5
25;PB;1990;23
52;GO;1990;34
33;RJ;1990;75
27;AL;1990;10
35;SP;1990;501
31;MG;1990;180
26;PE;1990;70
29;BA;1990;31
51;MT;1990;18
12;AC;1990;3
13;AM;1990;10
41;PR;1990;155
16;AP;1990;1
43;RS;1990;182
42;SC;1990;99
22;PI;1991;7
12;AC;1991;9
41;PR;1991;162
42;SC;1991;83
35;SP;1991;474
32;ES;1991;39
51;MT;1991;17
28;SE;1991;17
43;RS;1991;194
26;PE;1991;73
52;GO;1991;81
29;BA;1991;37
15;PA;1991;51
17;TO;1991;3
25;PB;1991;22
14;RR;1991;7
53;DF;1991;40
23;CE;1991;50
33;RJ;1991;47
24;RN;1991;22
16;AP;1991;6
31;MG;1991;186
11;RO;1991;24
13;AM;1991;21
21;MA;1991;18
27;AL;1991;18
50;MS;1991;22
21;MA;1992;13
50;MS;1992;37
31;MG;1992;195
52;GO;1992;86
24;RN;1992;13
25;PB;1992;20
33;RJ;1992;48
27;AL;1992;27
22;PI;1992;10
35;SP;1992;512
15;PA;1992;56
26;PE;1992;51
51;MT;1992;17
43;RS;1992;204
42;SC;1992;81
12;AC;1992;4
16;AP;1992;7
11;RO;1992;18
13;AM;1992;26
32;ES;1992;26
14;RR;1992;4
53;DF;1992;38
23;CE;1992;42
17;TO;1992;5
29;BA;1992;35
28;SE;1992;30
41;PR;1992;174
12;AC;1993;11
50;MS;1993;65
41;PR;1993;185
21;MA;1993;14
27;AL;1993;24
33;RJ;1993;70
24;RN;1993;22
52;GO;1993;92
17;TO;1993;3
32;ES;1993;31
14;RR;1993;7
29;BA;1993;48
26;PE;1993;76
15;PA;1993;46
42;SC;1993;77
16;AP;1993;7
51;MT;1993;22
23;CE;1993;71
35;SP;1993;638
31;MG;1993;189
53;DF;1993;51
22;PI;1993;25
13;AM;1993;29
11;RO;1993;19
43;RS;1993;182
25;PB;1993;8
28;SE;1993;13
26;PE;1994;78
31;MG;1994;231
16;AP;1994;3
14;RR;1994;6
53;DF;1994;52
17;TO;1994;6
21;MA;1994;12
52;GO;1994;92
33;RJ;1994;67
35;SP;1994;607
15;PA;1994;49
51;MT;1994;24
13;AM;1994;33
12;AC;1994;7
41;PR;1994;203
50;MS;1994;51
23;CE;1994;52
42;SC;1994;106
22;PI;1994;18
43;RS;1994;233
11;RO;1994;26
25;PB;1994;31
27;AL;1994;35
32;ES;1994;27
28;SE;1994;18
29;BA;1994;65
24;RN;1994;21
53;DF;1995;57
13;AM;1995;34
24;RN;1995;26
32;ES;1995;38
17;TO;1995;8
11;RO;1995;17
41;PR;1995;204
33;RJ;1995;91
21;MA;1995;21
27;AL;1995;26
43;RS;1995;245
15;PA;1995;51
52;GO;1995;110
42;SC;1995;115
51;MT;1995;44
12;AC;1995;6
22;PI;1995;23
31;MG;1995;217
14;RR;1995;9
29;BA;1995;55
35;SP;1995;610
26;PE;1995;111
23;CE;1995;63
16;AP;1995;8
28;SE;1995;19
50;MS;1995;61
25;PB;1995;29
28;SE;1996;17
50;MS;1996;44
41;PR;1996;229
23;CE;1996;106
22;PI;1996;22
51;MT;1996;50
29;BA;1996;54
35;SP;1996;617
26;PE;1996;83
25;PB;1996;10
13;AM;1996;40
33;RJ;1996;93
27;AL;1996;20
21;MA;1996;20
52;GO;1996;92
17;TO;1996;9
32;ES;1996;42
15;PA;1996;78
11;RO;1996;18
53;DF;1996;53
24;RN;1996;21
43;RS;1996;252
16;AP;1996;13
14;RR;1996;8
31;MG;1996;231
42;SC;1996;107
12;AC;1996;5
11;RO;1997;20
12;AC;1997;4
29;BA;1997;66
42;SC;1997;83
50;MS;1997;42
25;PB;1997;18
22;PI;1997;16
28;SE;1997;14
53;DF;1997;56
15;PA;1997;61
16;AP;1997;5
43;RS;1997;230
26;PE;1997;120
35;SP;1997;602
21;MA;1997;17
23;CE;1997;61
52;GO;1997;85
27;AL;1997;24
31;MG;1997;225
17;TO;1997;6
14;RR;1997;10
33;RJ;1997;92
32;ES;1997;44
51;MT;1997;38
13;AM;1997;45
24;RN;1997;27
41;PR;1997;214
15;PA;1998;96
53;DF;1998;45
11;RO;1998;28
52;GO;1998;70
51;MT;1998;42
50;MS;1998;37
43;RS;1998;261
23;CE;1998;97
32;ES;1998;43
31;MG;1998;210
24;RN;1998;15
29;BA;1998;46
28;SE;1998;16
27;AL;1998;32
25;PB;1998;16
26;PE;1998;89
22;PI;1998;29
12;AC;1998;7
42;SC;1998;94
41;PR;1998;228
35;SP;1998;599
13;AM;1998;46
33;RJ;1998;88
21;MA;1998;24
17;TO;1998;13
16;AP;1998;4
14;RR;1998;10
15;PA;1999;50
53;DF;1999;33
32;ES;1999;28
28;SE;1999;13
42;SC;1999;98
16;AP;1999;8
43;RS;1999;277
12;AC;1999;3
41;PR;1999;192
35;SP;1999;512
51;MT;1999;42
23;CE;1999;108
13;AM;1999;28
24;RN;1999;29
26;PE;1999;96
33;RJ;1999;86
25;PB;1999;19
29;BA;1999;54
21;MA;1999;25
52;GO;1999;88
27;AL;1999;33
17;TO;1999;14
22;PI;1999;17
31;MG;1999;181
11;RO;1999;27
50;MS;1999;55
14;RR;1999;16
28;SE;2000;21
12;AC;2000;16
42;SC;2000;110
24;RN;2000;24
31;MG;2000;195
14;RR;2000;10
15;PA;2000;56
16;AP;2000;11
53;DF;2000;32
32;ES;2000;27
11;RO;2000;34
17;TO;2000;22
29;BA;2000;60
27;AL;2000;22
52;GO;2000;121
21;MA;2000;33
25;PB;2000;10
33;RJ;2000;90
26;PE;2000;96
13;AM;2000;38
51;MT;2000;58
35;SP;2000;417
41;PR;2000;202
22;PI;2000;26
23;CE;2000;106
43;RS;2000;228
50;MS;2000;77
26;PE;2001;93
13;AM;2001;54
43;RS;2001;247
35;SP;2001;512
24;RN;2001;32
23;CE;2001;128
25;PB;2001;16
53;DF;2001;37
51;MT;2001;59
27;AL;2001;43
11;RO;2001;34
16;AP;2001;21
28;SE;2001;18
15;PA;2001;75
52;GO;2001;112
14;RR;2001;10
22;PI;2001;50
21;MA;2001;54
31;MG;2001;260
17;TO;2001;17
41;PR;2001;215
29;BA;2001;83
12;AC;2001;14
33;RJ;2001;130
32;ES;2001;45
42;SC;2001;117
50;MS;2001;63
32;ES;2002;41
14;RR;2002;12
13;AM;2002;44
28;SE;2002;22
15;PA;2002;73
35;SP;2002;504
24;RN;2002;37
42;SC;2002;114
29;BA;2002;88
51;MT;2002;50
23;CE;2002;157
